ops_item_id,missing_fields,dup_flag,error_rate_by_client,blocks_invoicing
OP-172,2,0,0.01,0
OP-173,0,0,0.15,0
OP-174,3,0,0.04,0
OP-175,2,0,0.19,1
OP-176,2,0,0.07,1
OP-177,2,0,0.07,0
OP-178,3,0,0.03,1
OP-179,0,0,0.06,0
OP-180,0,0,0.18,0
OP-181,1,0,0.2,0
OP-182,2,0,0.07,1
OP-183,1,0,0.09,0
OP-184,1,1,0.14,0
OP-185,0,0,0.18,0
OP-186,3,0,0.12,0
OP-187,3,1,0.08,0
OP-188,0,0,0.08,1
OP-189,3,0,0.14,1
OP-190,1,0,0.0,0
OP-191,2,0,0.12,1
OP-192,0,0,0.07,0
OP-193,2,0,0.16,1
OP-194,3,0,0.02,0
OP-195,2,0,0.12,0
OP-196,3,1,0.1,0
OP-197,3,0,0.13,1
OP-198,1,0,0.01,0
OP-199,3,0,0.12,0
OP-200,1,0,0.11,0
